,paper,schools,regions,COO
229,The Predictron: End-To-End Learning and Planning,Google;Google;Google;Google;Google;Google;Google;Google;Google;Google;Google,NAN,NAN
230,Training Group Orthogonal Neural Networks with Privileged Information,National University of Singapore;National University of Singapore;National University of Singapore;Qihoo 360 Technology Co. Ltd,NAN,NAN
231,Neural Data Filter for Bootstrapping Stochastic Gradient Descent,Microsoft;Microsoft;Microsoft;Microsoft,NAN,NAN
232,Surprise-Based Intrinsic Motivation for Deep Reinforcement Learning,University of California Berkeley;University of California Berkeley,usa,usa
233,Eigenvalues of the Hessian in Deep Learning: Singularity and Beyond,Facebook;Facebook;New York University,usa,usa
234,Extensions and Limitations of the Neural GPU,"University of Texas, Austin;OpenAI;OpenAI",NAN,NAN
235,Options Discovery with Budgeted Reinforcement Learning,LIP6;LIP6,asia,ir
236,On orthogonality and learning recurrent networks with long term dependencies,Polytechnique Montreal;Polytechnique Montreal;Polytechnique Montreal;Polytechnique Montreal,canada,ca
237,Learning Continuous Semantic Representations of Symbolic Expressions,University of Edinburgh;University of Edinburgh;Microsoft;University of Edinburgh,europe,uk
238,Fuzzy paraphrases in learning word representations with a lexicon,Keio University;Keio University,asia,jp
239,Unsupervised Deep Learning of State Representation Using Robotic Priors ,ENSTA ParisTech;ENSTA ParisTech,NAN,NAN
240,LSTM-Based System-Call Language Modeling and Ensemble Method for Host-Based Intrusion Detection,Seoul National University;Seoul National University;Seoul National University;Seoul National University;Seoul National University,asia,kr
241,Epitomic Variational Autoencoders,Stanford University;Facebook;Facebook;Stanford University,usa,usa
242,Layer Recurrent Neural Networks,University of Oxford;University of Oxford;University of Oxford,europe,uk
243,Communicating Hierarchical Neural Controllers for Learning Zero-shot Task Generalization,University of Michigan;University of Michigan;University of Michigan;Microsoft,NAN,NAN
244,NEWSQA: A MACHINE COMPREHENSION DATASET,Maluuba;Maluuba;Maluuba;Maluuba;Maluuba;Maluuba;Maluuba,NAN,NAN
245,Coarse Pruning of Convolutional Neural Networks with Random Masks,Seoul National University;Seoul National University,asia,kr
246,Universality in halting time,Facebook;;New York University,usa,usa
247,Generating Interpretable Images with Controllable Structure,Google;Google;Google;Google;Google;Google,NAN,NAN
248,Representing inferential uncertainty in deep neural networks through sampling,University of Cambridge;University of Cambridge,europe,uk
249,Online Structure Learning for Sum-Product Networks with Gaussian Leaves,University of Waterloo;University of Waterloo;University of Waterloo,canada,ca
250,A Convolutional Encoder Model for Neural Machine Translation,Facebook;Facebook;Facebook;Facebook,NAN,NAN
251,Reference-Aware Language Models,Carnegie Mellon University;Google;Google;Google,NAN,NAN
252,Deep Learning with Sets and Point Clouds,Carnegie Mellon University;Carnegie Mellon University;Carnegie Mellon University,usa,usa
253,Exponential Machines,Google;Moscow Institute of Physics and Technology;Skolkovo Institute of Science and Technology,europe,russia
254,Adversarial examples in the physical world,Google;OpenAI;Google,NAN,NAN
255,Gated Multimodal Units for Information Fusion,Universidad Nacional de Colombia;University of Houston;;Universidad Nacional de Colombia,NAN,NAN
256,Warped Convolutions: Efficient Invariance to Spatial Transformations,University of Oxford;University of Oxford,europe,uk
257,Human perception in computer vision,Weizmann Institute,NAN,NAN
258,Binary Paragraph Vectors,"AGH University of Science and Technology, Krakow, Poland;AGH University of Science and Technology, Krakow, Poland",NAN,NAN
259,Modularized Morphing of Neural Networks,"State University of New York, Buffalo;Microsoft;State University of New York, Buffalo",NAN,NAN
260,NEUROGENESIS-INSPIRED DICTIONARY LEARNING: ONLINE MODEL ADAPTION IN A CHANGING WORLD,University of Southern California;International Business Machines;International Business Machines;International Business Machines,NAN,NAN
261,Low-rank passthrough neural networks,University of Edinburgh,europe,uk
262,Towards Understanding the Invertibility of Convolutional Neural Networks,University of Michigan;University of Michigan;University of Michigan;University of Michigan;University of Michigan,usa,usa
263,Recurrent Normalization Propagation,University of Montreal;University of Montreal;University of Montreal,canada,ca
264,Learning in Implicit Generative Models,Google;Google,NAN,NAN
265,Intelligible Language Modeling with Input Switched Affine Networks,University of Oxford;Google;University of Wroclaw;Google;Google,NAN,NAN
266,Lifelong Perceptual Programming By Example,Microsoft;Microsoft;Microsoft;Microsoft,NAN,NAN
267,Alternating Direction Method of Multipliers for Sparse Convolutional Neural Networks,Laval university;Laval university;Laval university,NAN,NAN
268,Sentence Ordering using Recurrent Neural Networks,University of Michigan;University of Michigan;University of Michigan,usa,usa
269,Towards an automatic Turing test: Learning to evaluate dialogue responses,McGill University;McGill University;University College London;McGill University;University of Montreal;McGill University,canada,ca
270,Inference and Introspection in Deep Generative Models of Sparse Data,New York University;Adobe Systems,NAN,NAN
271,TreNet: Hybrid Neural Networks for Learning the Local Trend in Time Series,Swiss Federal Institute of Technology Lausanne;Swiss Federal Institute of Technology Lausanne;Swiss Federal Institute of Technology Lausanne,NAN,NAN
272,Compositional Kernel Machines,University of Washington;University of Washington,usa,usa
273,Introducing Active Learning for CNN under the light of Variational Inference,Université Côte d'Azur;Université Côte d'Azur,NAN,NAN
274,L-SR1: A Second Order Optimization Method for Deep Learning,"Sentient Technologies, Inc.;Sentient Technologies, Inc.",NAN,NAN
275,Adversarial examples for generative models,National University of Singapore;Google;University of California Berkeley,usa,usa
276,Hierarchical compositional feature learning,Vicarious Inc.;Vicarious Inc.;Vicarious Inc.;Vicarious Inc.,NAN,NAN
277,Unsupervised Perceptual Rewards for Imitation Learning,Google;Google;Google,NAN,NAN
278,Submodular Sum-product Networks for Scene Understanding,University of Washington;University of Washington,usa,usa
279,Semi-Supervised Detection of Extreme Weather Events in Large Climate Datasets,Lawrence Berkeley National Lab;Polytechnique Montreal;Polytechnique Montreal;Lawrence Berkeley National Lab;Polytechnique Montreal,canada,ca
280,Progressive Attention Networks for Visual Attribute Prediction,POSTECH;Adobe Systems;Adobe Systems;Adobe Systems;POSTECH,asia,kr
281,Fast Adaptation in Generative Models with Generative Matching Networks,Google;Higher School of Economics,NAN,NAN
282,Classless Association using Neural Networks,German Research Center for AI;German Research Center for AI;German Research Center for AI;TU Kaiserslautern,europe,de
283,Recurrent Coevolutionary Feature Embedding Processes for Recommendation,Georgia Institute of Technology;Georgia Institute of Technology;Georgia Institute of Technology;Georgia Institute of Technology,usa,usa
284,Unsupervised Learning of State Representations for Multiple Tasks,ENSTA ParisTech;TU Berlin;TU Berlin;TU Berlin;German Aerospace Center (DLR),NAN,NAN
285,A Neural Stochastic Volatility Model,University College London;Shanghai Jiao Tong University;Shanghai Jiao Tong University;University College London,europe,uk
286,Playing SNES in the Retro Learning Environment,"Technion, Technion;Technion, Technion;",asia,in
287,Linear Time Complexity Deep Fourier Scattering Network and Extension to Nonlinear Invariants,Rice University;CNRS university Toulon,NAN,NAN
288,Boosting Image Captioning with Attributes,Microsoft;Microsoft;Microsoft;Microsoft;Microsoft,NAN,NAN
289,Recursive Regression with Neural Networks: Approximating the HJI PDE Solution,University of California Berkeley;University of California Berkeley,usa,usa
290,Deep Unsupervised Clustering with Gaussian Mixture Variational Autoencoders,Imperial College London;Imperial College London;Imperial College London;Imperial College London;Imperial College London;Imperial College London;Imperial College London,europe,uk
291,Taming the waves: sine as activation function in deep neural networks,Tampere University of Technology;Tampere University of Technology;Tampere University of Technology,NAN,NAN
292,Significance of Softmax-Based Features over Metric Learning-Based Features,The University of Tokyo;The University of Tokyo;The University of Tokyo,NAN,NAN
293,Deep Generalized Canonical Correlation Analysis,Johns Hopkins University;Johns Hopkins University;Johns Hopkins University;Johns Hopkins University;Johns Hopkins University;Johns Hopkins University,usa,usa
294,Learning Recurrent Span Representations for Extractive Question Answering,University of Washington;Google;Google;Google,NAN,NAN
295,GRAM: Graph-based Attention Model for Healthcare Representation Learning,Georgia Institute of Technology;Georgia Institute of Technology;Georgia Institute of Technology;;Georgia Institute of Technology,usa,usa
296,Improving Sampling from Generative Autoencoders with Markov Chains,Imperial College London;Imperial College London;Imperial College London,europe,uk
297,Towards Principled Methods for Training Generative Adversarial Networks,;Facebook,NAN,NAN
298,Learning Disentangled Representations in Deep Generative Models,University of Oxford;University of Oxford;University of Oxford;Northeastern University;University of Oxford;Stanford University;Microsoft;University of Oxford,europe,uk
299,Local minima in training of deep networks,Google;Google;Google,NAN,NAN
300,Compact Embedding of Binary-coded Inputs and Outputs using Bloom Filters,Telefonica Research;Telefonica Research,NAN,NAN
301,RenderGAN: Generating Realistic Labeled Data,Freie Universität Berlin;Freie Universität Berlin;Freie Universität Berlin,europe,de
302,BIOACOUSTIC SEGMENTATION BY HIERARCHICAL DIRICHLET PROCESS HIDDEN MARKOV MODEL,CNRS university Toulon;;University of Caen Normandie;CNRS university Toulon,NAN,NAN
303,Tuning Recurrent Neural Networks with Reinforcement Learning,Massachusetts Institute of Technology;University of Cambridge;University of Cambridge;Google,NAN,NAN
304,An Analysis of Feature Regularization for Low-shot Learning,Baidu;Baidu;Baidu;Carnegie Mellon University,usa,usa
305,Gradients of Counterfactuals,Google;Google;Google,NAN,NAN
306,Encoding and Decoding Representations with Sum- and Max-Product Networks,University of Bari;Medical University of Graz;University of Bari;University of Bari,europe,uk
307,Skip-graph: Learning graph embeddings with an encoder-decoder model,Worcester Polytechnic Institute;Worcester Polytechnic Institute,usa,usa
308,Information Dropout: learning optimal representations through noise,"University of California, Los Angeles;University of California, Los Angeles",usa,usa
309,Deep unsupervised learning through spatial contrasting,"Technion, Technion;Technion, Technion;Technion, Technion",NAN,NAN
