author_name,ratings,papers_accepted,papers_rejected,papers_submitted,gender,return_2021,first_author,last_author,first_time_author,gender_of_last_author
Nathan De Lara,"[[6, 8]]",1,0,1,u,0,1,0,0,m
Thomas Bonald,"[[6, 8]]",1,0,1,m,0,0,1,0,m
Gavin Weiguang Ding,"[[3, 6, 6]]",1,0,1,m,1,1,0,0,m
Ruitong Huang,"[[3, 6, 6]]",1,0,1,m,1,0,1,0,m
Xutai Ma,"[[6, 6, 8]]",1,0,1,m,0,1,0,1,m
Jiatao Gu,"[[6, 6, 8], [6, 3, 6], [8, 6, 6], [8, 8, 3]]",4,0,4,m,1,0,1,0,m
Mathias Lechner,"[[6, 6, 8], [6, 6, 8]]",2,0,2,m,0,1,1,1,m
Weixun Wang,"[[6, 6, 6]]",1,0,1,u,1,1,0,1,m
Yang Gao,"[[6, 6, 6], [3, 6, 6], [3, 3, 3]]",1,2,3,m,1,0,1,0,m
Boris Hanin,"[[6, 8, 8]]",1,0,1,m,1,1,0,1,m
Mihai Nica,"[[6, 8, 8]]",1,0,1,m,0,0,1,1,m
Andreas Loukas,"[[6, 8, 8], [6, 8, 8], [6, 6, 6]]",3,0,3,m,1,1,1,1,m
Sergei Popov,"[[6, 8, 3], [6, 3, 8]]",2,0,2,m,0,1,0,1,m
Artem Babenko,"[[6, 8, 3], [6, 3, 8], [3, 3, 8]]",2,1,3,m,1,0,1,1,m
Milad Alizadeh,"[[6, 6, 6]]",1,0,1,m,0,1,0,0,m
Lingxiao Zhao,"[[8, 3]]",1,0,1,m,0,1,0,1,f
Leman Akoglu,"[[8, 3]]",1,0,1,f,0,0,1,1,f
Zirui Wang*,"[[8, 8, 6]]",1,0,1,m,0,1,0,1,m
Jaime G. Carbonell,"[[8, 8, 6]]",1,0,1,m,0,0,1,0,m
Tianzong Zhang,"[[8, 6, 8], [6, 3, 1]]",1,1,2,m,0,0,1,1,m
Fan-Keng Sun*,"[[6, 6, 3]]",1,0,1,m,0,1,0,1,m
Hung-Yi Lee,"[[6, 6, 3]]",1,0,1,m,0,0,1,0,m
